@relation CityBeatEvents
@attribute AvgCaptionLen real
@attribute stat_StdPhotoDis real
@attribute AvgPhotoDis real
@attribute MeanPhotoDisbyCap real
@attribute CaptionPercentage real
@attribute PredictedStd real
@attribute TopWordPopularity real
@attribute Zscore real
@attribute Entropy real
@attribute diff_AvgPhotoDis real
@attribute diff_TopWordPopularity real
@attribute diff_Entropy real
@attribute tfidf1 real
@attribute tfidf2 real
@attribute tfidf3 real
@attribute NumberOfHashtages1 real
@attribute NumberOfHashtages2 real
@attribute NumberOfHashtages3 real
@attribute NumberOfPhotsoContaingTopWord1 real
@attribute NumberOfPhotsoContaingTopWord2 real
@attribute NumberOfPhotsoContaingTopWord3 real
@attribute Top10PhotoLocationNameFreq real
@attribute ID string
@attribute label {1,-1}
@data
46.0 , 0.0875145479337 , 0.223424044253 , 7.92280264342 , 0.7 , 1.23688505711 , 0.238095238095 , 4.49377024452 , 2.90530777637 , -0.0588017481992 , 20.9684205259 , 0.214097612792 , 1.71497271061 , 1.21272759131 , 0.809418892932 , 2.0 , 2.0 , 0.0 , 2 , 2 , 1 , 0.3 , 511c927fc2a37552f026462f , 1
52.7777777778 , 0.0812280465173 , 0.328561914861 , 6.68662701268 , 0.9 , 1.7176178754 , 0.333333333333 , 3.45876287278 , 2.86032077783 , 0.00829017726306 , 21.2574360477 , 0.567124915405 , 1.97057269744 , 1.08002615524 , 0.629548027836 , 0.25 , 0.25 , 1.0 , 4 , 4 , 1 , 0.4 , 511c8e86c2a37552f0263fff , 1
20.8333333333 , 0.0735926236839 , 0.129092537647 , 7.69835134979 , 0.666666666667 , 0.945536996124 , 0.333333333333 , 5.72843821928 , 2.74484253175 , -0.114853965254 , 23.2377828911 , 0.126550448752 , 1.68229768071 , 0.96243352162 , 0.761219993643 , 0.666666666667 , 0.5 , 0.0 , 3 , 2 , 1 , 0.333333333333 , 511ca17fc2a37552f026583a , 1
52.9 , 0.0272718915192 , 0.276396329682 , 7.07466613758 , 1.0 , 2.81301286244 , 0.2 , 3.94326755603 , 2.86032077783 , -0.0851215108417 , 21.5796143957 , 0.470333549481 , 1.20048089743 , 0.710279877807 , 0.600240448715 , 1.5 , 0.0 , 0.0 , 2 , 2 , 2 , 0.1 , 511c8746c2a37552f0263531 , 1
45.2 , 0.048259537117 , 0.288322543092 , 7.28851866805 , 1.0 , 1.55482501989 , 0.1 , 3.56916199671 , 2.86032077783 , -0.0312261901767 , 22.2680579291 , 0.24488511283 , 0.600240448715 , 0.600240448715 , 0.582008293035 , 0.0 , 4.0 , 0.0 , 1 , 1 , 1 , 0.2 , 511c907cc2a37552f0264378 , 1
40.9 , 0.0822639151447 , 0.0746957097051 , 6.49747194662 , 1.0 , 2.40126960849 , 0.433333333333 , 4.99559031597 , 2.39428114771 , -0.233828485633 , 20.9966417625 , 0.755556159084 , 3.24877069335 , 1.65972025737 , 0.600240448715 , 0.5 , 1.0 , 1.33333333333 , 8 , 4 , 3 , 0.4 , 511c8620c2a37552f0263358 , 1
39.4 , 0.162765361227 , 0.165386454978 , 5.32121438793 , 1.0 , 9.04973596757 , 0.366666666667 , 3.65819228859 , 2.39428114771 , -0.255256992842 , 23.0885088496 , 0.44556759393 , 2.29352821697 , 0.811298867618 , 0.55324008579 , 1.625 , 0.0 , 4.0 , 8 , 2 , 1 , 0.3 , 511c82adc2a37552f0262f18 , 1
36.4 , 0.0865804038059 , 0.249046500237 , 7.40902148503 , 1.0 , 1.87935453018 , 0.166666666667 , 4.95854037897 , 2.900051699 , -0.115399976091 , 21.0601939852 , 0.700725325854 , 1.04278942536 , 0.504689304212 , 0.497278506997 , 0.0 , 0.5 , 0.0 , 2 , 2 , 1 , 0.3 , 511c8729c2a37552f0263504 , 1
37.6 , 0.181503269785 , 0.141058839451 , 4.87832444634 , 1.0 , 2.19709811299 , 0.566666666667 , 5.57556070759 , 2.39428114771 , -0.0761312075553 , 23.2251018903 , 0.0829474498275 , 4.65606634428 , 4.07405805125 , 1.13318645011 , 0.444444444444 , 0.5 , 0.0 , 9 , 8 , 2 , 0.8 , 511c973cc2a37552f0264c35 , 1
44.7 , 0.119907323606 , 0.310804863073 , 6.76440750655 , 1.0 , 1.65842130933 , 0.366666666667 , 4.78574450633 , 2.7528553052 , 0.0235562997761 , 18.6326994935 , 0.177760197425 , 0.941738811021 , 0.909721727952 , 0.600240448715 , 1.2 , 1.6 , 0.666666666667 , 5 , 5 , 3 , 0.5 , 511c887fc2a37552f0263779 , 1
