@relation 'CityBeatEvents-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Standardize-weka.filters.MultiFilter-Fweka.filters.supervised.instance.SpreadSubsample -M 1.0 -X 0.0 -S 1-Fweka.filters.unsupervised.attribute.Standardize_predicted'

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute predictedlabel {1,-1}
@attribute label {1,-1}

@data
-1.385008,0.140266,0.450873,0.373239,-0.570548,-0.131563,0.226491,0.454155,-0.269023,0.183893,-0.572124,0.080711,0.095951,0.072198,-0.195264,-0.293208,-0.010332,-0.732666,-0.316947,511487d7c2a3754cfe66964e,-1,-1
0.175672,1.571706,-1.127196,0.373239,0.036531,0.089379,-0.714252,0.431508,-0.802361,-0.626631,-0.572124,-0.188494,-0.219739,-0.086159,-0.195264,0.21219,-0.010332,-0.210133,-0.316947,51148245c2a3754cfe668eb1,-1,-1
0.145367,0.646636,0.015982,0.373239,0.205343,-0.573447,-0.689962,0.431508,-0.813283,-0.66312,-0.594027,-0.188494,0.411641,0.388912,-0.195264,-0.798606,-0.687047,-0.210133,-0.316947,51147e80c2a3754cfe668a82,-1,-1
1.348887,0.945016,-1.540313,-3.96756,0.399544,-0.415632,-0.694509,0.907703,0.024355,-0.27456,0.090731,-0.592302,2.305779,2.289198,-0.591847,-0.798606,-0.687047,-0.732666,-0.316947,51148f69c2a3754cfe66a1bd,-1,-1
-2.089587,1.344267,-0.047014,0.373239,-1.043703,-1.015331,0.963695,1.078892,-0.87756,-0.858355,-0.848941,-0.188494,-0.219739,-0.561231,-0.988429,-0.798606,-0.687047,-0.732666,-0.316947,511496f5c2a3754cfe66ab61,-1,-1
-0.869832,1.306264,0.849748,0.373239,2.626926,-0.794389,-0.730433,0.713867,-0.831892,-0.718141,-0.725258,-0.592302,-0.535428,-0.561231,-0.591847,-0.798606,-0.687047,-0.732666,-0.316947,511479e5c2a3754cfe668562,-1,-1
-0.382796,0.577164,-1.590848,-2.842168,-0.542457,-0.731263,-0.615936,0.720753,-0.510883,-0.191239,0.21522,-0.592302,-0.219739,-0.244516,-0.988429,-0.798606,-0.687047,-0.674607,-0.316947,51148841c2a3754cfe66972a,-1,-1
0.145367,0.584705,0.708989,0.373239,-0.23653,-0.131563,0.074774,0.454155,-0.696876,-0.549774,-0.382449,-0.457699,-0.535428,-0.561231,-0.195264,-0.293208,-0.010332,0.834935,-0.316947,51148338c2a3754cfe668fb2,1,-1
1.539372,-0.372864,0.475269,0.373239,0.729043,0.089379,-0.574161,-0.392923,0.525141,-0.549774,-0.424631,-0.188494,-0.535428,-0.244516,0.994484,-0.798606,-0.687047,-0.732666,-0.316947,511478ccc2a3754cfe6684b0,1,-1
-0.221654,1.078697,-0.008982,-1.073694,-0.417053,-0.450702,-0.604725,0.431508,-0.232229,-0.521839,-0.382635,0.013409,-0.535428,0.388912,-0.591847,-0.293208,-0.687047,-0.210133,-0.316947,51148d29c2a3754cfe669e2d,-1,-1
