@relation CityBeatEvents-weka.filters.unsupervised.attribute.Standardize

@attribute AvgCaptionLen numeric
@attribute AvgPhotoDis numeric
@attribute AvgPhotoDisbyCap numeric
@attribute CaptionPercentage numeric
@attribute PredictedStd numeric
@attribute TopWordPopularity numeric
@attribute Zscore numeric
@attribute Entropy numeric
@attribute TheRatioOfPeopleToPhoto numeric
@attribute tfidf1 numeric
@attribute tfidf2 numeric
@attribute tfidf3 numeric
@attribute NumberOfHashtages1 numeric
@attribute NumberOfHashtages2 numeric
@attribute NumberOfHashtages3 numeric
@attribute NumberOfPhotsoContaingTopWord1 numeric
@attribute NumberOfPhotsoContaingTopWord2 numeric
@attribute NumberOfPhotsoContaingTopWord3 numeric
@attribute Top10PhotoLocationNameFreq numeric
@attribute Top3PhotoLocationNameSame numeric
@attribute ID string
@attribute label {1,-1}

@data
-0.493579,-1.909776,0.771853,0.633483,-0.669376,0.899812,0.158688,-1.596018,-0.23557,0.865879,0.761493,0.183794,-0.386832,-0.451379,-0.319509,1.614105,0.562319,1.220205,2.983418,7.258656,5114a33bc2a3754cfe66b985,1
-0.182137,-3.812527,-0.129323,0.633483,-0.534042,5.714538,0.095186,-4.661889,1.94742,7.202098,8.624007,-0.295251,-0.129486,-0.135805,-0.055096,6.281297,9.116534,6.068122,4.740571,-0.137686,51148712c2a3754cfe669570,1
0.390515,0.958933,0.098791,0.633483,-0.09502,0.46211,-0.585338,1.099332,-0.330482,0.561226,1.227566,-0.192521,-0.454555,-0.451379,-0.439697,0.058374,0.562319,1.220205,0.347688,-0.137686,511482e1c2a3754cfe668f78,1
-0.975812,-1.947118,-0.481546,0.633483,0.742833,1.775217,-0.45857,-1.723186,-0.23557,6.5068,-0.374277,-0.295251,-0.338459,-0.451379,-0.439697,3.947701,-0.506958,-0.395768,2.104841,-0.137686,51147c8dc2a3754cfe6687f1,1
0.05898,-1.970637,0.454633,0.633483,-0.417206,3.088324,-0.417641,-0.983988,0.761012,2.914321,3.870553,5.073217,-0.29202,-0.398783,-0.439697,2.39197,3.77015,4.45215,-1.409465,-0.137686,51148d4dc2a3754cfe669e6d,1
0.365398,1.480387,0.169016,0.633483,-0.004763,-0.850997,-0.149686,0.608568,0.381362,-0.544953,-0.507676,-0.523713,-0.454555,-0.451379,-0.199321,-0.719492,-0.506958,-0.395768,-0.530888,-0.137686,5114837ec2a3754cfe669027,1
0.094142,0.392764,0.986308,0.633483,1.247889,-0.413295,-0.777926,0.645008,0.333906,0.561226,-0.374277,-0.192521,-0.183664,-0.451379,-0.439697,0.058374,-0.506958,-0.395768,-0.530888,-0.137686,51147bdbc2a3754cfe66874c,1
-0.026416,-0.179209,0.866212,0.633483,0.380625,0.899812,0.274712,-0.360213,4.842253,1.202484,1.954119,-0.400375,-0.364258,-0.451379,-0.439697,0.836239,0.562319,1.220205,1.226265,-0.137686,51147a4fc2a3754cfe66858e,1
-0.89544,-0.784886,0.053707,0.633483,0.350902,2.650622,-0.28518,-1.141693,0.808469,4.777837,1.288914,2.067478,-0.129486,-0.188401,-0.247396,2.39197,3.77015,6.068122,2.983418,-0.137686,51147f9ac2a3754cfe668c31,1
1.525771,1.110596,0.945893,0.633483,-0.762181,0.024408,0.839189,0.645008,-0.425395,-0.137276,-0.374277,-0.192521,2.660685,0.337557,0.401619,0.058374,0.562319,1.220205,-0.530888,-0.137686,51148bb1c2a3754cfe669ba2,1
-1.191812,2.193509,0.930746,0.633483,-0.08539,-0.413295,0.010146,-0.263641,0.333906,0.785744,-0.649085,-0.636783,-0.454555,-0.451379,0.041055,0.058374,-0.506958,-0.395768,-0.530888,-0.137686,51147d13c2a3754cfe6688a6,1
1.108841,-0.806706,0.814156,0.633483,-0.737965,0.899812,0.62031,-1.141693,0.998294,1.606693,1.549071,2.433545,-0.228813,-0.056911,-0.439697,3.169835,0.562319,1.220205,0.347688,-0.137686,51148bb8c2a3754cfe669bd6,1
-0.609114,1.207644,0.975165,0.633483,0.619245,0.024408,-0.515064,0.190683,0.096624,0.383016,-0.374277,-0.295251,-0.183664,-0.31989,-0.439697,0.058374,0.562319,-0.395768,-0.530888,-0.137686,51148f62c2a3754cfe66a1b7,1
0.90791,1.00974,0.975102,0.633483,1.746135,0.024408,-0.667316,0.190683,0.6661,0.093264,-0.446561,-0.295251,-0.454555,-0.451379,-0.439697,0.058374,0.562319,-0.395768,-0.530888,-0.137686,51147bc6c2a3754cfe668728,1
0.234076,-2.871324,-1.553213,-0.618607,-0.793209,2.838208,1.437647,-1.534482,-0.472851,3.827339,6.411483,1.313732,-0.048219,0.074578,0.041055,3.169835,2.700873,1.220205,0.786977,-0.137686,51148c29c2a3754cfe669ce4,1
-0.905486,-3.580792,-1.902468,0.633483,3.000318,0.024408,-0.143392,-4.661889,3.60839,-0.025535,-0.446561,-0.523713,-0.454555,-0.451379,-0.439697,0.058374,0.562319,-0.395768,6.497724,7.258656,511479acc2a3754cfe668542,1
-0.20223,-1.194133,0.097508,0.633483,-0.641336,0.46211,0.880606,-1.141693,0.238993,0.176439,-0.560616,-0.457348,-0.454555,-0.188401,-0.439697,0.836239,1.631596,-0.395768,0.347688,-0.137686,51148da1c2a3754cfe669ef9,1
0.752189,-1.055768,0.932467,0.633483,-0.297659,-0.413295,-0.024466,-0.814537,-0.140657,-0.4045,-0.374277,-0.382108,-0.183664,-0.188401,-0.439697,0.058374,-0.506958,-0.395768,-0.530888,-0.137686,51148d4fc2a3754cfe669e7a,1
-0.337858,-1.644442,-0.252842,0.633483,-0.561312,3.963729,0.698091,-2.452959,0.618643,6.485682,3.787067,-0.192521,-0.386832,-0.31989,-0.199321,4.725566,2.700873,1.220205,-1.409465,-0.137686,51148777c2a3754cfe669601,1
-1.252091,-3.0214,-1.949952,0.633483,3.754922,5.714538,0.105965,-3.62763,7.689631,7.684964,10.480788,-0.192521,-0.373287,-0.376242,0.041055,6.281297,5.908703,-0.395768,3.861994,-0.137686,51147967c2a3754cfe668503,1
-0.292649,1.385549,0.742018,0.633483,0.953327,1.337515,0.820047,0.057672,1.330488,-0.09593,0.154754,-0.730911,-0.454555,-0.451379,-0.199321,0.836239,1.631596,1.220205,1.226265,-0.137686,511478cac2a3754cfe6684ac,1
2.490237,-0.69381,-0.597172,0.633483,-0.074292,-0.413295,0.955072,-1.141693,-0.472851,-0.41416,-0.374277,-0.192521,0.493562,0.600536,-0.439697,0.058374,-0.506958,-0.395768,-0.530888,-0.137686,511486b7c2a3754cfe6694e2,1
0.038886,-1.160604,0.130975,0.633483,-0.171255,-0.850997,0.166477,-2.452959,-0.23557,-0.504886,-0.446561,-0.382108,0.087226,-0.451379,-0.439697,-0.719492,-0.506958,-0.395768,1.226265,-0.137686,51148d88c2a3754cfe669eb1,1
0.385491,0.355386,0.862734,0.633483,-0.417843,0.899812,-0.357247,-0.360213,-0.23557,0.865879,2.040347,2.433545,-0.364258,-0.31989,-0.319509,0.836239,0.562319,1.220205,-0.530888,-0.137686,51148d1ac2a3754cfe669e26,1
0.01377,-0.678825,0.657461,0.633483,0.311552,0.899812,-0.401608,-1.998634,-0.093201,4.608456,-0.560616,-0.523713,-0.319109,-0.188401,-0.199321,3.169835,-0.506958,-0.395768,2.983418,-0.137686,51147f8bc2a3754cfe668c04,1
-0.830137,0.451703,0.76109,0.633483,2.37748,0.46211,-0.86472,-0.121204,0.14408,-0.287718,-0.835425,-1.142734,-0.183664,-0.188401,-0.439697,0.058374,0.562319,1.220205,1.226265,-0.137686,511479f3c2a3754cfe66856a,1
0.340282,-0.173296,0.199598,0.633483,-0.196651,0.024408,-0.18838,-0.121204,-0.093201,-0.578829,-0.560616,-0.457348,-0.454555,-0.451379,-0.439697,0.836239,0.562319,-0.395768,-0.530888,-0.137686,511484bec2a3754cfe6691c3,1
-0.398137,0.682349,0.370289,0.633483,-0.645119,2.650622,0.640443,1.099332,2.70672,0.214683,0.365002,-0.704405,-0.346198,-0.451379,-0.439697,2.39197,2.700873,1.220205,0.347688,-0.137686,511486cfc2a3754cfe669515,1
-0.488556,-0.215449,-0.034325,0.633483,4.026007,0.899812,-0.823296,0.920456,0.523731,0.302407,0.761493,0.923733,-0.364258,-0.31989,-0.439697,0.836239,0.562319,1.220205,-0.530888,-0.137686,51147974c2a3754cfe668526,1
1.111352,-0.115049,-0.735415,-1.369861,-0.217005,1.118664,-0.002136,-0.084765,-0.377939,1.366403,2.246268,2.603169,1.035343,0.995004,0.041055,0.058374,0.562319,1.220205,2.104841,-0.137686,511497d2c2a3754cfe66ac3b,1
-0.388091,-3.248457,0.872565,0.633483,0.615803,0.899812,-0.112716,-4.661889,-0.045745,0.176439,-0.374277,-0.192521,-0.003071,-0.100741,-0.439697,0.836239,1.631596,1.220205,2.983418,-0.137686,51148f61c2a3754cfe66a1b2,1
0.426236,0.792249,0.051549,-0.368189,-0.383838,0.267576,-0.355543,0.190683,-0.188114,0.248931,-0.247724,-0.012664,-0.183664,0.337557,1.483311,0.058374,0.562319,-0.395768,1.226265,-0.137686,51148d2dc2a3754cfe669e3e,1
