_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,do_the_photos_capture_any_event_or_incident,do_the_photos_capture_any_event_or_incident:confidence,enter_the_code_at_the_bottom_of_the_above_link,if_there_is_an_event_copy_the_highlighted_keyword_to_here_colored_in_blue_on_each_row,orig__golden,orig_do_the_photos_capture_any_event_or_incident,do_the_photos_capture_any_event_or_incident_gold,do_the_photos_capture_any_event_or_incident_gold_reason,orig_enter_the_code_at_the_bottom_of_the_above_link,enter_the_code_at_the_bottom_of_the_above_link_gold,enter_the_code_at_the_bottom_of_the_above_link_gold_reason,url
253614370,true,golden,26,2/13/2013 03:28:20,No,0.8558,"341433
341433
341433
341433
341433
341433
453362
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433
341433","brunch
brunch




Event

brunch



no unique activity












",TRUE,,No,Friends hangout is not an event,,341433,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147e36c2a3754cfe668a35
253614371,true,golden,8,2/13/2013 00:05:05,Yes,0.6497,"170926
170926
170926
170926
170926
170926
170926
170926","thecuttingroom
frankies friends


thecuttingroom

frankiesfriends thecuttingroom
frankiesfriends",TRUE,,No,Friends hangout is not an event,,170926,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147ed6c2a3754cfe668af1
253614372,true,golden,7,2/13/2013 01:03:57,Yes,0.7319,"59319
59319
59319
59319
59319
59319
59319","brooklyn ping pong
brooklyn
brooklyn,ping,pong
broolyln cheesus grilled ping pong


",TRUE,,Yes,"Keyword ""brooklyn"" (5 Sample Photos) is an event",,59319,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114a33bc2a3754cfe66b985
253614373,true,golden,21,2/13/2013 03:29:50,Yes,0.9067,"201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414
201414","darby
lips,flaming,show,rolling,thanks,chelsea,darby,stone,
lips

lips flaming show rolling thanks darby stone
flaming
lips flaming show rolling thanks chelsea darby stone
lips flaming show rolling thanks darby stone
lips
lips flaming show rolling thanks chelsea darby stone
lips flaming
lips flaming show rolling thanks chelsea darby stone

lips flaming
flaming lips show
lips, flaminng, show
lips flaming show rolling thanks darby stone
lips
lips
lips
",TRUE,,Yes,"Keyword ""flaming"" (5 Sample Photos)",,201414,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148712c2a3754cfe669570
253614374,true,golden,24,2/13/2013 03:22:35,Yes,0.4975,"533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
533058
360762
533058
533058
533058
533058
533058
533058
533058","random

interpol amanda lights ryan bright memories schreiber turn event
schreiber event

interpol

interpol

interpol amanda lights ryan bright memories schreiber turn event
interpol, amanda, lights


interpol

interpol

interpol





",TRUE,,Yes,"Keyword ""interpol"" (4 Sample Photos) is an event",,533058,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/511482e1c2a3754cfe668f78
253614375,true,golden,26,2/13/2013 02:53:25,Yes,0.5337,"165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147c8dc2a3754cfe6687f1
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437
165437","Concert
japandroids


japandroids aaaaaand dose
japandroids ""websterhall

betch

random
japandroids
japandroids websterhall
japandroids

dose websterhall
japandroids



japandroids
165437
no unique activity
Thu, 06 Dec 2012


",TRUE,,Yes,"Keyword ""japandroids"" (5 Sample Photos) obviously a concert",,165437,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147c8dc2a3754cfe6687f1
253614376,true,golden,28,2/13/2013 03:29:50,Yes,0.4925,"279333
279333
279333
733291
279333
279333
279333
279333
279333
279333
279333
279333
279333
279333
684472
279333
279333
279333
279333
279333
279333
279333
279333
279333
279333
279333
279333
279333","msg, sheeran, concert

concert

msg
msg
msg sheeran ed concert edsheeran onedirection
msg sheeran concert
msg sheeran ed concert edsheeran onedirection






msg

msg
concert
Concert
random
279333




no
",TRUE,,Yes,"Keyword ""msg"" (5 Sample Photos)",,279333,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148d4dc2a3754cfe669e6d
253614377,true,golden,26,2/13/2013 03:29:50,Yes,0.7334,"49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778
49778","
vsfashionshow
vsfashionshow
vsfashionshow
vsfashionshow, love, greenwich
vfashionshow


vsfashionshow
vsfashionshow

vsfashionshow
vsfashionshow
vsfashionshow
vsfashionshow


vsfashionshow love greenwich gotta amazing village world caution
vsfashionshow love world
vsfashionshow

vsfashionshow



vsfashionshow",TRUE,,Yes,"Keyword ""vsfashionshow"" (5 Sample Photos) is an event",,49778,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/5114837ec2a3754cfe669027
253614378,true,golden,21,2/13/2013 02:45:15,Yes,0.6026,"666661
666661
666661
666661
0
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661
666661","fyreolym pics

random
fyreolympics weinstein knockout

fyreolympics

fyreolympics weinstein knockout
fyreolympics weinstein
fyreolympics, wiredstore
fyreolympics

fyreolympics weinstein



fyreolympics
""fyreolympics""  ""weinstein


",TRUE,,Yes,"Keyword ""weinstein"" (3 Sample Photos) is some kind of sport games",,666661,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51147bdbc2a3754cfe66874c
253614379,true,golden,24,2/13/2013 02:56:54,No,0.8353,"638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585
638585","

anderson
tree


















3 rows
",TRUE,,No,Less than 3 photos,,638585,Invalid code. View the whole page and you could find it at the bottom of the link,http://ec2-23-22-67-45.compute-1.amazonaws.com/citybeat-events/events/51148e33c2a3754cfe66a018
